Category,Top 1%'s share (right hand axis),90:10 ratio (left hand axis)
1961,3.658444,3.210805
1962,3.462651,3.105999
1963,4.146389,3.344403
1964,4.652975,3.258433
1965,3.892205,3.074602
1966,3.736405,3.188901
1967,4.152559,2.980411
1968,3.807755,2.975597
1969,3.916373,3.1288
1970,3.666999,3.210217
1971,4.03663,3.282496
1972,3.767521,3.411785
1973,3.754003,3.198466
1974,3.510815,3.086307
1975,3.134368,3.03036
1976,3.06346,2.969709
1977,3.043041,2.953608
1978,3.040007,2.948575
1979,3.328063,3.119633
1980,3.444789,3.217638
1981,3.472757,3.233141
1982,3.582166,3.103035
1983,3.869811,3.194925
1984,3.995166,3.18179
1985,4.050823,3.365606
1986,4.411317,3.487022
1987,4.546909,3.814268
1988,5.330571,4.120102
1989,5.686537,4.153919
1990,5.736333,4.380101
1991,5.750678,4.444647
1992,6.207313,4.292734
1993,5.802738,4.254404
1994,6.082303,4.069719
1995,6.190698,4.059311
1996,6.207866,4.121046
1997,6.93191,4.142959
1998,7.258403,4.226888
1999,7.442423,4.140134
2000,8.060949,4.164473
2001,7.999678,4.116165
2002,7.861567,4.026678
2003,7.375152,3.979022
2004,7.450353,3.957634
2005,7.71844,4.019906
2006,8.026449,4.132593
2007,8.302491,4.195441
2008,8.443001,4.172736
2009,8.641627,4.061802
2010,7.250618,3.882686
2011,7.66297,3.872476
2012,7.001784,3.891126
2013,8.193746,3.814037
2014,7.800314,3.88077
2015,8.504213,3.871382
2016,7.702451,3.865889
2017,7.955927,3.968357
2018,8.238335,4.037606
2019,8.540143,4.060306
2020,7.782814,3.858392
