Country,GDP
Afghanistan,14.501
Albania,19.083
Algeria,225.631
Andorra,3.376
Angola,141.941
Antigua and Barbuda,1.868
Argentina,632.318
Armenia,19.514
Aruba,3.545
Australia,"1,724.034"
Austria,471.374
Azerbaijan,78.807
The Bahamas,13.136
Bahrain,46.680
Bangladesh,460.201
Barbados,6.257
Belarus,72.835
Belgium,584.073
Belize,2.831
Benin,17.439
Bhutan,2.869
Bolivia,44.329
Bosnia and Herzegovina,24.535
Botswana,20.322
Brazil,"1,951.849"
Brunei Darussalam,16.682
Bulgaria,90.422
Burkina Faso,18.906
Burundi,3.917
Cabo Verde,2.309
Cambodia,39.838
Cameroon,44.442
Canada,"2,161.483"
Central African Republic,2.460
Chad,16.261
Chile,302.160
China,"17,848.540"
Colombia,345.330
Comoros,1.225
Democratic Republic of the Congo,65.768
Republic of Congo,13.967
Costa Rica,69.235
Côte d'Ivoire,70.324
Croatia,72.059
Cyprus,29.274
Czech Republic,301.831
Denmark,401.946
Djibouti,3.726
Dominica,0.607
Dominican Republic,113.873
Ecuador,116.586
Egypt,475.231
El Salvador,31.989
Equatorial Guinea,13.516
Eritrea,n/a
Estonia,38.401
Eswatini,4.791
Ethiopia,118.968
Fiji,4.970
Finland,280.462
France,"2,798.502"
Gabon,20.485
The Gambia,2.161
Georgia,24.985
Germany,"4,166.872"
Ghana,73.956
Greece,217.753
Grenada,1.231
Guatemala,95.631
Guinea,19.589
Guinea-Bissau,1.721
Guyana,14.529
Haiti,19.826
Honduras,31.233
Hong Kong SAR,358.681
Hungary,177.788
Iceland,28.770
India,"3,353.471"
Indonesia,"1,319.076"
Islamic Republic of Iran,376.254
Iraq,288.059
Ireland,549.003
Israel,527.694
Italy,"2,104.650"
Jamaica,17.003
Japan,"4,271.933"
Jordan,48.722
Kazakhstan,225.529
Kenya,114.733
Kiribati,0.271
Korea,"1,799.363"
Kosovo,9.375
Kuwait,183.977
Kyrgyz Republic,12.269
Lao P.D.R.,15.121
Latvia,40.454
Lebanon,24.524
Lesotho,2.267
Liberia,3.974
Libya,43.281
Lithuania,71.134
Luxembourg,81.706
Macao SAR,24.464
Madagascar,15.135
Malawi,12.531
Malaysia,407.606
Maldives,6.161
Mali,18.322
Malta,19.225
Marshall Islands,0.253
Mauritania,9.564
Mauritius,12.928
Mexico,"1,463.324"
Micronesia,0.430
Moldova,14.550
Mongolia,17.146
Montenegro,6.243
Morocco,130.952
Mozambique,18.884
Myanmar,61.766
Namibia,12.562
Nauru,0.157
Nepal,41.183
Netherlands,"1,047.364"
New Zealand,242.575
Nicaragua,15.671
Niger,15.458
Nigeria,476.468
North Macedonia,13.735
Norway,593.727
Oman,111.944
Pakistan,374.850
Palau,0.256
Panama,76.523
Papua New Guinea,31.610
Paraguay,41.953
Peru,244.273
Philippines,404.353
Poland,689.888
Portugal,255.398
Puerto Rico,113.567
Qatar,235.709
Romania,299.470
Russia,"2,269.899"
Rwanda,13.313
Samoa,0.833
San Marino,1.833
São Tomé and Príncipe,0.546
Saudi Arabia,"1,108.571"
Senegal,27.744
Serbia,63.563
Seychelles,2.058
Sierra Leone,7.119
Singapore,498.475
Slovak Republic,115.676
Slovenia,59.975
Solomon Islands,1.566
Somalia,10.203
South Africa,406.755
South Sudan,8.037
Spain,"1,447.636"
Sri Lanka,74.586
St. Kitts and Nevis,0.981
St. Lucia,2.343
St. Vincent and the Grenadines,0.989
Sudan,33.520
Suriname,3.631
Sweden,579.896
Switzerland,828.447
Syria,n/a
Taiwan Province of China,760.907
Tajikistan,10.493
Tanzania,74.173
Thailand,495.622
Timor-Leste,3.205
Togo,8.144
Tonga,0.475
Trinidad and Tobago,30.053
Tunisia,44.596
Türkiye,905.800
Turkmenistan,77.963
Tuvalu,0.064
Uganda,47.439
Ukraine,160.874
United Arab Emirates,502.732
United Kingdom,"3,125.404"
United States,"26,006.900"
Uruguay,70.165
Uzbekistan,90.125
Vanuatu,1.039
Venezuela,92.104
Vietnam,407.965
West Bank and Gaza,19.166
Yemen,23.534
Zambia,29.122
Zimbabwe,32.527
