year,region,price,id
2005,2.0,46.0,UKI
2005,3.0,60.0,UKJ
2005,4.0,35.0,UKK
2005,5.0,49.0,UKH
2005,6.0,54.0,UKF
2005,7.0,55.450001,UKG
2005,8.0,42.5,UKE
2005,9.0,45.0,UKD
2005,10.0,48.0,UKC
2005,11.0,50.0,UKL
2005,12.0,55.0,UKM
2006,2.0,64.900002,UKI
2006,3.0,65.0,UKJ
2006,4.0,47.25,UKK
2006,5.0,49.0,UKH
2006,6.0,60.5,UKF
2006,7.0,51.0,UKG
2006,8.0,65.0,UKE
2006,9.0,45.0,UKD
2006,10.0,50.0,UKC
2006,11.0,50.0,UKL
2006,12.0,50.0,UKM
2007,2.0,60.450001,UKI
2007,3.0,70.0,UKJ
2007,4.0,50.0,UKK
2007,5.0,55.0,UKH
2007,6.0,63.5,UKF
2007,7.0,58.2250005,UKG
2007,8.0,60.25,UKE
2007,9.0,49.950001,UKD
2007,10.0,55.0,UKC
2007,11.0,50.0,UKL
2007,12.0,54.950001,UKM
2008,2.0,70.0,UKI
2008,3.0,71.5,UKJ
2008,4.0,45.0,UKK
2008,5.0,55.0,UKH
2008,6.0,67.5,UKF
2008,7.0,69.5,UKG
2008,8.0,61.700001,UKE
2008,9.0,50.0,UKD
2008,10.0,55.5,UKC
2008,11.0,50.0,UKL
2008,12.0,55.0,UKM
2008,13.0,75.0,UKN
2009,2.0,70.0,UKI
2009,3.0,72.0,UKJ
2009,4.0,43.950001,UKK
2009,5.0,55.0,UKH
2009,6.0,67.800003,UKF
2009,7.0,69.9749985,UKG
2009,8.0,52.0,UKE
2009,9.0,52.0,UKD
2009,10.0,55.5,UKC
2009,11.0,50.0,UKL
2009,12.0,50.0,UKM
2009,13.0,77.0,UKN
2010,2.0,76.5,UKI
2010,3.0,75.0,UKJ
2010,4.0,40.0,UKK
2010,5.0,55.0,UKH
2010,6.0,65.0,UKF
2010,7.0,68.5,UKG
2010,8.0,55.0,UKE
2010,9.0,64.0,UKD
2010,10.0,56.0,UKC
2010,11.0,53.0,UKL
2010,12.0,50.0,UKM
2010,13.0,90.0,UKN
2011,2.0,84.0,UKI
2011,3.0,79.0,UKJ
2011,4.0,45.0,UKK
2011,5.0,60.0,UKH
2011,6.0,65.0,UKF
2011,7.0,82.75,UKG
2011,8.0,58.0,UKE
2011,9.0,65.0,UKD
2011,10.0,58.0,UKC
2011,11.0,59.0,UKL
2011,12.0,50.0,UKM
2011,13.0,79.0,UKN
2012,2.0,88.0,UKI
2012,3.0,83.0,UKJ
2012,4.0,45.0,UKK
2012,5.0,65.0,UKH
2012,6.0,65.0,UKF
2012,7.0,87.875,UKG
2012,8.0,50.950001,UKE
2012,9.0,65.0,UKD
2012,10.0,50.0,UKC
2012,11.0,63.0,UKL
2012,12.0,57.5,UKM
2012,13.0,84.5,UKN
2013,2.0,85.0,UKI
2013,3.0,89.0,UKJ
2013,4.0,45.0,UKK
2013,5.0,64.5,UKH
2013,6.0,65.0,UKF
2013,7.0,86.0,UKG
2013,8.0,52.5,UKE
2013,9.0,65.0,UKD
2013,10.0,55.0,UKC
2013,11.0,60.0,UKL
2013,12.0,55.0,UKM
2013,13.0,90.0,UKN
2014,2.0,95.0,UKI
2014,3.0,95.375,UKJ
2014,4.0,55.0,UKK
2014,5.0,65.0,UKH
