year,region,price
2005,2.0,46.0
2005,3.0,60.0
2005,4.0,35.0
2005,5.0,49.0
2005,6.0,54.0
2005,7.0,55.450001
2005,8.0,42.5
2005,9.0,45.0
2005,10.0,48.0
2005,11.0,50.0
2005,12.0,55.0
2006,2.0,64.900002
2006,3.0,65.0
2006,4.0,47.25
2006,5.0,49.0
2006,6.0,60.5
2006,7.0,51.0
2006,8.0,65.0
2006,9.0,45.0
2006,10.0,50.0
2006,11.0,50.0
2006,12.0,50.0
2007,2.0,60.450001
2007,3.0,70.0
2007,4.0,50.0
2007,5.0,55.0
2007,6.0,63.5
2007,7.0,58.2250005
2007,8.0,60.25
2007,9.0,49.950001
2007,10.0,55.0
2007,11.0,50.0
2007,12.0,54.950001
2008,2.0,70.0
2008,3.0,71.5
2008,4.0,45.0
2008,5.0,55.0
2008,6.0,67.5
2008,7.0,69.5
2008,8.0,61.700001
2008,9.0,50.0
2008,10.0,55.5
2008,11.0,50.0
2008,12.0,55.0
2008,13.0,75.0
2009,2.0,70.0
2009,3.0,72.0
2009,4.0,43.950001
2009,5.0,55.0
2009,6.0,67.800003
2009,7.0,69.9749985
2009,8.0,52.0
2009,9.0,52.0
2009,10.0,55.5
2009,11.0,50.0
2009,12.0,50.0
2009,13.0,77.0
2010,2.0,76.5
2010,3.0,75.0
2010,4.0,40.0
2010,5.0,55.0
2010,6.0,65.0
2010,7.0,68.5
2010,8.0,55.0
2010,9.0,64.0
2010,10.0,56.0
2010,11.0,53.0
2010,12.0,50.0
2010,13.0,90.0
2011,2.0,84.0
2011,3.0,79.0
2011,4.0,45.0
2011,5.0,60.0
2011,6.0,65.0
2011,7.0,82.75
2011,8.0,58.0
2011,9.0,65.0
2011,10.0,58.0
2011,11.0,59.0
2011,12.0,50.0
2011,13.0,79.0
2012,2.0,88.0
2012,3.0,83.0
2012,4.0,45.0
2012,5.0,65.0
2012,6.0,65.0
2012,7.0,87.875
2012,8.0,50.950001
2012,9.0,65.0
2012,10.0,50.0
2012,11.0,63.0
2012,12.0,57.5
2012,13.0,84.5
2013,2.0,85.0
2013,3.0,89.0
2013,4.0,45.0
2013,5.0,64.5
2013,6.0,65.0
2013,7.0,86.0
2013,8.0,52.5
2013,9.0,65.0
2013,10.0,55.0
2013,11.0,60.0
2013,12.0,55.0
2013,13.0,90.0
2014,2.0,95.0
2014,3.0,95.375
2014,4.0,55.0
2014,5.0,65.0
2014,6.0,65.0
2014,7.0,89.0
2014,8.0,65.0
2014,9.0,69.0
2014,10.0,65.0
2014,11.0,60.0
2014,12.0,65.0
2014,13.0,89.0
2015,2.0,95.0
2015,3.0,93.75
2015,4.0,61.5
2015,5.0,67.5
2015,6.0,75.0
2015,7.0,100.0
2015,8.0,65.0
2015,9.0,70.0
2015,10.0,69.0
2015,11.0,65.0
2015,12.0,75.0
2015,13.0,78.0
2016,2.0,100.0
2016,3.0,87.989998
2016,4.0,60.0
2016,5.0,66.494999
2016,6.0,75.0
2016,7.0,85.0
2016,8.0,65.0
2016,9.0,76.989998
2016,10.0,69.0
2016,11.0,71.0
2016,12.0,72.0
2016,13.0,86.0
2017,2.0,99.0
2017,3.0,99.0
2017,4.0,65.0
2017,5.0,75.0
2017,6.0,73.0
2017,7.0,104.475
2017,8.0,65.0
2017,9.0,74.9699975
2017,10.0,68.989998
2017,11.0,63.5
2017,12.0,80.0
2017,13.0,112.0
2018,2.0,95.0
2018,3.0,98.0
2018,4.0,62.5
2018,5.0,78.0
2018,6.0,87.989998
2018,7.0,104.995
2018,8.0,67.989998
2018,9.0,78.0
2018,10.0,65.5
2018,11.0,60.25
2018,12.0,85.0
2018,13.0,112.0
2019,2.0,86.0
2019,3.0,105.0
2019,4.0,72.25
2019,5.0,75.0
2019,6.0,106.0
2019,7.0,102.0
2019,8.0,61.125
2019,9.0,78.0
2019,10.0,68.75
2019,11.0,53.0
2019,12.0,75.0
2019,13.0,107.5
2020,2.0,78.0
2020,3.0,80.0
2020,4.0,70.0
2020,5.0,71.5
2020,6.0,75.0
2020,7.0,86.5
2020,8.0,55.0
2020,9.0,77.0
2020,10.0,62.5
2020,11.0,54.0
2020,12.0,65.0
2020,13.0,92.5
2021,2.0,99.0
2021,3.0,110.25
2021,4.0,88.0
2021,5.0,76.0
2021,6.0,123.5
2021,7.0,109.0
2021,8.0,63.245001
2021,9.0,90.0
2021,10.0,71.5
2021,11.0,73.0
2021,12.0,81.0
2021,13.0,102.5
2022,2.0,114.49000000000001
2022,3.0,123.5
2022,4.0,87.980003
2022,5.0,97.25
2022,6.0,107.25
2022,7.0,118.25
2022,8.0,70.0
2022,9.0,93.75
2022,10.0,88.5
2022,11.0,85.0
2022,12.0,92.5
2022,13.0,169.0
2023,2.0,150.0
2023,3.0,120.495
2023,4.0,99.0
2023,5.0,110.0
2023,6.0,123.99
2023,7.0,131.0
2023,8.0,85.0
2023,9.0,101.99
2023,10.0,85.0
2023,11.0,95.0
2023,12.0,79.199997
2023,13.0,183.85
2024,2.0,138.49001
2024,3.0,134.85001
2024,4.0,110.44
2024,5.0,120.0
2024,6.0,116.0
2024,7.0,145.995005
2024,8.0,86.0
2024,9.0,105.75
2024,10.0,80.0
2024,11.0,95.0
2024,12.0,100.0
2024,13.0,187.0
