GDP,Country,Happiness
14.501,Afghanistan,2.404
19.083,Albania,5.199
225.631,Algeria,5.122
632.315,Argentina,5.967
19.514,Armenia,5.399
1724.034,Australia,7.162
471.374,Austria,7.163
78.807,Azerbaijan,5.173
46.680,Bahrain,6.647
460.201,Bangladesh,5.155
72.835,Belarus,5.821
584.073,Belgium,6.805
17.439,Benin,4.623
44.329,Bolivia,5.6
24.535,Bosnia and Herzegovina,5.768
20.322,Botswana,3.471
1951.849,Brazil,6.293
90.422,Bulgaria,5.371
18.906,Burkina Faso,4.67
39.838,Cambodia,4.64
44.442,Cameroon,5.048
2161.483,Canada,7.025
16.261,Chad,4.251
302.160,Chile,6.172
17848.540,China,5.585
345.330,Colombia,5.781
1.225,Comoros,4.609
13.967,Congo,5.075
69.235,Costa Rica,6.582
72.059,Croatia,6.125
29.274,Cyprus,6.221
301.831,Czechia,6.92
401.946,Denmark,7.636
113.873,Dominican Republic,5.737
116.586,Ecuador,5.533
475.231,Egypt,4.288
31.989,El Salvador,6.12
38.401,Estonia,6.341
4.791,Eswatini,4.396
118.968,Ethiopia,4.241
280.462,Finland,7.821
2798.502,France,6.687
20.485,Gabon,4.958
2.161,Gambia,5.164
24.985,Georgia,4.973
4166.872,Germany,7.034
73.956,Ghana,4.872
217.753,Greece,5.948
95.631,Guatemala,6.262
19.589,Guinea,4.891
31.233,Honduras,6.022
358.681,Hong Kong,5.425
177.788,Hungary,6.086
28.770,Iceland,7.557
3353.471,India,3.777
1319.076,Indonesia,5.24
376.254,Iran,4.888
288.059,Iraq,4.941
549.003,Ireland,7.041
527.694,Israel,7.364
2104.650,Italy,6.467
17.003,Jamaica,5.85
"4,271.933",Japan,6.039
48.722,Jordan,4.152
225.529,Kazakhstan,6.234
114.733,Kenya,4.543
183.977,Kuwait,6.106
12.269,Kyrgyzstan,5.828
15.121,Laos,5.14
40.454,Latvia,6.18
24.524,Lebanon,2.955
2.267,Lesotho,3.512
3.974,Liberia,5.122
43.281,Libya,5.33
71.134,Lithuania,6.446
81.706,Luxembourg,7.404
15.135,Madagascar,4.339
12.531,Malawi,3.75
407.606,Malaysia,5.711
18.322,Mali,4.479
19.225,Malta,6.447
9.564,Mauritania,4.153
12.928,Mauritius,6.071
1463.324,Mexico,6.128
14.550,Moldova,5.857
17.146,Mongolia,5.761
6.243,Montenegro,5.547
130.952,Morocco,05.06
18.884,Mozambique,5.048
61.766,Myanmar,4.394
12.562,Namibia,4.459
41.183,Nepal,5.377
1047.364,Netherlands,7.415
242.575,New Zealand,7.2
15.671,Nicaragua,6.165
15.458,Niger,5.003
476.468,Nigeria,4.552
13.735,North Macedonia,5.199
593.727,Norway,7.365
374.850,Pakistan,4.516
,,
76.523,Panama,6.309
41.953,Paraguay,5.578
244.273,Peru,5.559
404.353,Philippines,5.904
689.888,Poland,6.123
255.398,Portugal,6.016
299.470,Romania,6.477
2269.899,Russia,5.459
13.313,Rwanda,3.268
1108.571,Saudi Arabia,6.523
27.744,Senegal,5.046
63.563,Serbia,6.178
7.119,Sierra Leone,3.574
498.475,Singapore,6.48
115.676,Slovakia,6.391
59.975,Slovenia,6.63
406.755,South Africa,5.194
1447.636,Spain,6.476
74.586,Sri Lanka,4.362
579.896,Sweden,7.384
828.447,Switzerland,7.512
760.907,Taiwan Province of China,6.512
10.493,Tajikistan,5.377
74.173,Tanzania,3.702
495.622,Thailand,5.891
8.144,Togo,4.112
44.596,Tunisia,4.516
905.800,Turkey,4.744
77.963,Turkmenistan,5.474
47.439,Uganda,4.603
160.874,Ukraine,5.084
502.732,United Arab Emirates,6.576
3125.404,United Kingdom,6.943
26006.900,United States,6.977
70.165,Uruguay,6.474
90.125,Uzbekistan,6.063
92.104,Venezuela,4.925
407.965,Vietnam,5.485
23.534,Yemen,4.197
29.122,Zambia,3.76
32.527,Zimbabwe,2.995
