year,coffee,tea
1988,0.34999999,0.25
1989,0.36000001,0.25
1990,0.40000001,0.30000001
1991,0.44999999,0.34999999
1992,0.47999999,0.36000001
1993,0.5,0.40000001
1994,0.51999998,0.40000001
1995,0.55000001,0.43000001
1996,0.60000002,0.44999999
1997,0.60000002,0.49000001
1998,0.60000002,0.49000001
1999,0.64999998,0.49000001
2000,0.64999998,0.5
2001,0.69,0.55000001
2002,0.75,0.58999997
2003,0.75,0.60000002
2004,0.75,0.64999998
2005,0.80000001,0.69999999
2006,0.89999998,0.75
2007,0.99000001,0.75
2008,1.1,0.88999999
2009,1.2,0.89999998
2010,1.25,0.99000001
2011,1.39,1.0
2012,1.45,1.0
2013,1.5,1.15
2014,1.5,1.2
