Country Name;Country Code;2020;2021;2022;2023;
Aruba;ABW;2558906303.88098;3103184101.51354;3544707788.05664;;
Africa Eastern and Southern;AFE;929074086484.093;1086772164579.87;1183962133998.87;1236163044999.97;
Afghanistan;AFG;19955929052.1496;14266499429.8746;14502158192.0904;;
Africa Western and Central;AFW;787146719022.421;845993047006.805;877140805320.357;796586157553.094;
Angola;AGO;48501561203.5686;66505129987.7235;104399746853.401;84722957642.3757;
Albania;ALB;15162734205.2462;17930565118.8176;18916378860.5488;22977677860.7979;
Andorra;AND;2891001149.3611;3324683011.5903;3380602042.84283;3727673593.01922;
Arab World;ARB;2576553324185.61;2969116805615.58;3613682354462.24;3491516939569.88;
United Arab Emirates;ARE;349473015330.157;415178792756.978;507063968277.74;504173451327.434;
Argentina;ARG;385740508436.965;487902572164.348;631133384439.944;640591410663.883;
Armenia;ARM;12641698583.2152;13878908628.9378;19513474648.2429;24212134631.064;
American Samoa;ASM;721000000;750000000;871000000;;
Antigua and Barbuda;ATG;1410796296.2963;1601366666.66667;1867733333.33333;2033085185.18518;
Australia;AUS;1330381544909.3;1559033756285.13;1692956646855.7;1723827215334.71;
Austria;AUT;435049316955.737;479295362747.047;470941926750.741;516034144115.95;
Azerbaijan;AZE;42693000000;54825411764.7059;78807470588.2353;72356176470.5882;
Burundi;BDI;2649680261.44299;2775798697.46022;3338722827.65691;2642161668.92754;
Belgium;BEL;526021513474.243;600904461226.347;583613982019.263;632216577075.109;
Benin;BEN;15686741883.934;17687623530.3355;17425418044.2906;19673284686.0023;
Burkina Faso;BFA;17725010530.7894;19643166853.6641;18820219331.2261;20324617838.9676;
Bangladesh;BGD;373979442653.343;416271647002.435;460131688909.301;437415331040.994;
Bulgaria;BGR;70368758395.141;84041493015.6618;90346169914.9349;101584384672.786;
Bahrain;BHR;34621807712.766;39288670212.766;44383297872.3404;43205000000;
Bahamas; The;13016200000;9958200000;11368900000;13136400000;14338500000
Bosnia and Herzegovina;BIH;20226036564.4129;23672712242.2149;24534663636.1778;27054889362.8852;
Belarus;BLR;61371755326.2351;69673747131.87;73775179924.603;71857382745.6066;
Belize;BLZ;2047727810.06777;2424575179.3783;2830507575.6841;3281500000;
Bermuda;BMU;6887147000;7286607000;7827980000;;
Bolivia;BOL;36629843806.0781;40406111693.1983;44008282879.8842;45849832906.4139;
Brazil;BRA;1476107231194.11;1670647399034.67;1951923942083.32;2173665655937.27;
Barbados;BRB;4779756550;4945276000;5840673700;6393564189.61345;
Brunei Darussalam;BRN;12005799653.9835;14006496617.4458;16681536466.7183;15128292953.5098;
Bhutan;BTN;2457604042.40959;2768802803.18141;2898227713.22315;;
Botswana;BWA;14960291105.9316;18750946600.1423;20321958850.0363;19395765126.3127;
